Agency,Opportunity Name,Paid/Unpaid,Citizenship Eligibility,Education Level,Category,Link,Description
General Services Administration (GSA),Pathways Internship Program,Paid,US Citizen,"Undergraduate, High School, Graduate",Business,https://www.usajobs.gov/job/814303400,
Defense Counterintelligence and Security Agency (DCSA),DSE Student Experience,Paid,US Citizen,"Undergraduate, Graduate",Social Sciences,https://www.dcsa.mil/About-Us/Careers/Student-Programs/,"Summary

The DCSA Student Experience (DSE) is a paid internship program designed to attract diverse and talented students enrolled full-time in an undergraduate or graduate degree program from an accredited college or university. Students have an opportunity to gain marketable developmental experience in counterintelligence and insider threat, industrial security, personnel security, security training, and other DCSA core mission and support areas.

Highlights

Students typically work for a recommended minimum of 10 weeks from June through August as full-time, temporary federal employees. Students that successfully complete the summer program may be eligible to return to their internship during academic breaks. Students must provide proof of full-time enrollment from an accredited institution in order to be considered. All students will successfully complete the security clearance process and pass a drug screening test prior to receiving a final offer to participate in the program. Students who receive successful performance may be eligible for non-competitive conversion to a permanent position if all requirements are met. Funding availability, mission requirements, and other factors may apply.
"
"Bureau of Alcohol, Tobacco, Firearms and Explosives",Pathways Internship Program,Paid,Unspecified,"Undergraduate, Graduate, High School",Other,https://www.atf.gov/careers/internships,
Smithsonian,Office of Sponsored Projects Internships,Unpaid,Unspecified,"Undergraduate, Graduate, High School",Business,https://www.si.edu/osp/internships,
National Endowment for the Arts (NEA),Pathways Internship Program,Unpaid,Unspecified,"Undergraduate, Graduate",Arts & Media,https://www.arts.gov/about/leadership-staff/employment/internships,
Institute of Museum and Library Services (IMLS),IMLS Internships,Unpaid,Unspecified,"Undergraduate, Graduate",Law,https://www.imls.gov/about-us/jobs-imls/internship-opportunities/legal-internship,
Consumer Financial Protection Bureau (CFPB),Legal Externship Program,Unpaid,"US Citizen, Permanent Resident",Undergraduate,Law,https://www.consumerfinance.gov/about-us/careers/students-and-graduates/legal-externship-program/,
NASA,Summer Internship Program,Paid,"US Citizen, Permanent Resident","Undergraduate, Graduate",Engineering & Physical Sciences,https://www.jpl.nasa.gov/edu/intern/apply/summer-internship-program/,
NASA,Year-Round Internship Program,Paid,"US Citizen, Permanent Resident","Undergraduate, Graduate",Engineering & Physical Sciences,https://www.jpl.nasa.gov/edu/intern/apply/year-round-internship-program/,
U.S. Army Joint Munitions Command (JMC),Minority College Relations Program – Intern Program,Paid,US Citizen,"Undergraduate, Graduate",Technology,https://www.jmc.army.mil/Programs.aspx?id=MCRPInternProgram,
U.S. Naval Research Laboratory,HBCU/MI/TCU Research Internship Program,Paid,US Citizen,Undergraduate,Engineering & Physical Sciences,https://twc.edu/programs/department-of-navy-internship-program,"Perform cutting edge research with world-renowned Naval Research Laboratory (NRL) scientists and engineers in Washington D.C. to strengthen America's naval defense.
You'll not only develop your scientific research skills, you'll also acquire the necessary tools to deliver effective presentations, prepare technical reports, and get networking tips.

Sponsored by the Department of the Navy (DoN) and supported by The Washington Center, this immersive program will further develop your skill set for careers in science, technology, engineering and math (STEM). Many research projects have the potential to make a significant impact in the scientific and global community.

Students from underrepresented backgrounds are strongly encouraged to apply."
Consumer Financial Protection Bureau (CFPB),Pathways Internship Program,Paid,"US Citizen, Permanent Resident","Undergraduate, Graduate, High School",Business,https://www.consumerfinance.gov/about-us/careers/students-and-graduates/pathways-internship-program/,
U.S. Naval Research Laboratory,STEM Student Employment Program,Paid,US Citizen,Undergraduate,Mathematics & Computational Sciences,https://www.nrl.navy.mil/Careers/Students/SSEP-Student-Employee-Program/,"This program is a direct hire authority for undergraduate and graduate degree seeking students enrolled in scientific, technical, engineering, or mathematics majors. Students must be continuously enrolled on at least a half-time basis at a qualifying educational institution and be at least 16 years of age.

Appointments can be to NP or NR career track positions. Appointment duration can be temporary (NTE 1 year), term (up to 4 years), or flexible length term (expire 120 days after completion of the degree requirements). For students pursuing degrees that do not meet the OPM science and engineering qualifications requirements, appointments will be made to NR career track positions that are temporary (NTE 1 year).

Students can work full-time or part-time. Students may work year-round or during the summers and go on LWOP to return to school in the fall and spring.

Students in all NP positions, and in NR positions under term or flexible length term appointments may be non-competitively converted to a permanent NP career track position provided the OPM science and engineering qualification requirements are met and the candidate is otherwise eligible.
"
U.S. Naval Research Laboratory,Science and Engineering Apprenticeship Program,Paid,"US Citizen, International Student",High School,Mathematics & Computational Sciences,https://www.navalsteminterns.us/seap/,"The Science and Engineering Apprenticeship Program (SEAP) places high school students in Department of Navy (DoN) laboratories where they take part in real Naval research for eight weeks during the summer.

SEAP gives academically talented sophomores, juniors, and seniors interested in STEM the opportunity to learn about Naval research and technology while receiving first-class mentoring by top scientists and engineers.

SEAP is a competitive program with around 300 placements in more than 38 laboratories around the country in which many participants go on to careers within the DoN. Interns are selected based upon academic achievement, personal statements, recommendations, and career and research interests."
